####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2022-01-28 23:08:22
## Sample: 7272
## Reference: index_star_CHR_mouse.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
A430033K04Rik,pass,63,6,10.5,4,15.75,30.5
A430034D21Rik,low_depth,18,18,1.0,18,1.0,0.0
A430046D13Rik,pass,56,3,18.67,3,18.67,27.5
A430057M04Rik,pass,12,3,4.0,1,12.0,12.0
A430072C10Rik,low_depth,1,1,1.0,1,1.0,0.0
A430073D23Rik,pass,21,7,3.0,7,3.0,5.67
A430078G23Rik,low_depth,1,1,1.0,1,1.0,0.0
A430078I02Rik,low_depth,1,1,1.0,1,1.0,0.0
A430088P11Rik,pass,57,6,9.5,3,19.0,55.0
A430093F15Rik,pass,27,2,13.5,2,13.5,26.0
A430103D13Rik,pass,68,5,13.6,4,17.0,17.0
A430106G13Rik,pass,33,6,5.5,5,6.6,10.33
A430110C17Rik,pass,36,5,7.2,4,9.0,17.0
A4galt,pass,85,4,21.25,4,21.25,41.5
A4gnt,pass,39,12,3.25,11,3.55,6.6
A530001N23Rik,low_depth,1,1,1.0,1,1.0,0.0
A530010F05Rik,low_depth,1,1,1.0,1,1.0,0.0
A530010L16Rik,pass,19,2,9.5,2,9.5,9.5
A530013C23Rik,pass,21,6,3.5,6,3.5,16.0
A530017D24Rik,pass,66,6,11.0,5,13.2,16.25
A530030E21Rik,low_depth,1,1,1.0,1,1.0,0.0
A530032D15Rik,pass,138,9,15.33,7,19.71,22.83
A530040E14Rik,pass,56,8,7.0,6,9.33,13.5
A530041M06Rik,pass,23,5,4.6,5,4.6,10.0
A530046M15Rik,pass,198,10,19.8,8,24.75,48.5
A530053G22Rik,low_depth,4,3,1.33,3,1.33,2.0
A530064D06Rik,pass,290,33,8.79,25,11.6,14.95
A530076I17Rik,pass,37,13,2.85,11,3.36,27.0
A530083M17Rik,low_depth,2,1,2.0,1,2.0,2.0
A630001G21Rik,pass,412,34,12.12,24,17.17,19.48
A630001O12Rik,low_depth,2,1,2.0,1,2.0,2.0
A630010A05Rik,low_depth,1,1,1.0,1,1.0,0.0
A630023A22Rik,pass,25,2,12.5,2,12.5,24.0
A630052C17Rik,pass,123,6,20.5,5,24.6,24.6
A630072L19Rik,low_depth,2,1,2.0,1,2.0,2.0
A630072M18Rik,pass,143,15,9.53,11,13.0,23.0
A630081D01Rik,pass,19,1,19.0,1,19.0,19.0
A630089N07Rik,pass,62,11,5.64,10,6.2,9.67
A730004F24Rik,low_depth,1,1,1.0,1,1.0,0.0
A730009L09Rik,low_depth,1,1,1.0,1,1.0,0.0
A730011C13Rik,pass,9,3,3.0,3,3.0,4.0
A730015C16Rik,pass,6,1,6.0,1,6.0,6.0
A730017C20Rik,pass,31,4,7.75,3,10.33,29.0
A730017L22Rik,pass,12,2,6.0,2,6.0,11.0
A730020E08Rik,low_depth,17,13,1.31,12,1.42,2.67
A730020M07Rik,pass,4,1,4.0,1,4.0,4.0
A730035I17Rik,low_depth,1,1,1.0,1,1.0,0.0
A730049H05Rik,low_depth,1,1,1.0,1,1.0,0.0
A730060N03Rik,low_depth,1,1,1.0,1,1.0,0.0
