"Cell_Index","UMIs_human","UMIs_mouse","Labels"
"1820_Cell_Index111405",1073,3377,"mainly_mouse"
"1820_Cell_Index111599",834,2387,"mainly_mouse"
"1820_Cell_Index11167",752,2186,"mainly_mouse"
"1820_Cell_Index11168",784,2464,"mainly_mouse"
"1820_Cell_Index111714",9758,25663,"mainly_mouse"
"1820_Cell_Index111812",835,2447,"mainly_mouse"
"1820_Cell_Index111835",1287,4401,"mainly_mouse"
"1820_Cell_Index111947",2641,0,"unique_human"
"1820_Cell_Index112004",7435,17580,"mainly_mouse"
"1820_Cell_Index112150",659,2056,"mainly_mouse"
"1820_Cell_Index112385",710,2010,"mainly_mouse"
"1820_Cell_Index112492",876,2663,"mainly_mouse"
"1820_Cell_Index112544",1070,3004,"mainly_mouse"
"1820_Cell_Index11267",646,1905,"mainly_mouse"
"1820_Cell_Index112749",777,2716,"mainly_mouse"
"1820_Cell_Index112782",737,2359,"mainly_mouse"
"1820_Cell_Index112927",1016,3019,"mainly_mouse"
"1820_Cell_Index113088",819,2426,"mainly_mouse"
"1820_Cell_Index113134",639,2163,"mainly_mouse"
"1820_Cell_Index113150",1090,3196,"mainly_mouse"
"1820_Cell_Index11317",627,2105,"mainly_mouse"
"1820_Cell_Index113246",0,1156,"unique_mouse"
"1820_Cell_Index113299",1597,4724,"mainly_mouse"
"1820_Cell_Index113362",795,2235,"mainly_mouse"
"1820_Cell_Index113372",781,2437,"mainly_mouse"
"1820_Cell_Index113451",947,2971,"mainly_mouse"
"1820_Cell_Index113480",0,933,"unique_mouse"
"1820_Cell_Index113518",845,2577,"mainly_mouse"
"1820_Cell_Index113587",19812,41950,"mainly_mouse"
"1820_Cell_Index113603",11086,25505,"mainly_mouse"
"1820_Cell_Index113979",656,2314,"mainly_mouse"
"1820_Cell_Index114055",537,1645,"mainly_mouse"
"1820_Cell_Index11408",7146,16539,"mainly_mouse"
"1820_Cell_Index11409",802,2505,"mainly_mouse"
"1820_Cell_Index114174",0,1317,"unique_mouse"
"1820_Cell_Index114190",776,2450,"mainly_mouse"
"1820_Cell_Index114230",910,2710,"mainly_mouse"
"1820_Cell_Index114448",578,1803,"mainly_mouse"
"1820_Cell_Index114450",1034,3099,"mainly_mouse"
"1820_Cell_Index114497",791,2666,"mainly_mouse"
"1820_Cell_Index114542",668,2404,"mainly_mouse"
"1820_Cell_Index114801",515,1570,"mainly_mouse"
"1820_Cell_Index114849",2311,0,"unique_human"
"1820_Cell_Index114949",595,1898,"mainly_mouse"
"1820_Cell_Index114959",894,2567,"mainly_mouse"
"1820_Cell_Index115125",755,2036,"mainly_mouse"
"1820_Cell_Index11517",8172,18522,"mainly_mouse"
"1820_Cell_Index115181",685,1941,"mainly_mouse"
"1820_Cell_Index115238",637,2085,"mainly_mouse"
"1820_Cell_Index115254",703,2369,"mainly_mouse"
"1820_Cell_Index115258",943,2780,"mainly_mouse"
"1820_Cell_Index115410",848,0,"unique_human"
"1820_Cell_Index11550",7230,17231,"mainly_mouse"
"1820_Cell_Index115535",819,2656,"mainly_mouse"
"1820_Cell_Index115554",841,2479,"mainly_mouse"
"1820_Cell_Index115603",832,2630,"mainly_mouse"
"1820_Cell_Index115647",864,2485,"mainly_mouse"
"1820_Cell_Index11566",8356,20511,"mainly_mouse"
"1820_Cell_Index115696",2604,7741,"mainly_mouse"
"1820_Cell_Index115819",0,714,"unique_mouse"
"1820_Cell_Index115929",624,2009,"mainly_mouse"
