"Cell_Index","UMIs_human"
"1820_Cell_Index13854",518
"1820_Cell_Index138750",670
"1820_Cell_Index138794",862
"1820_Cell_Index138828",700
"1820_Cell_Index138942",642
"1820_Cell_Index139058",936
"1820_Cell_Index139081",541
"1820_Cell_Index139206",4061
"1820_Cell_Index139397",1003
"1820_Cell_Index13951",1359
"1820_Cell_Index139772",1203
"1820_Cell_Index139773",6755
"1820_Cell_Index139819",820
"1820_Cell_Index140331",643
"1820_Cell_Index140380",1055
"1820_Cell_Index140387",804
"1820_Cell_Index140608",1440
"1820_Cell_Index140727",794
"1820_Cell_Index140838",828
"1820_Cell_Index140848",27641
"1820_Cell_Index140971",592
"1820_Cell_Index141025",1505
"1820_Cell_Index141029",7229
"1820_Cell_Index141113",866
"1820_Cell_Index1413",569
"1820_Cell_Index141311",671
"1820_Cell_Index141424",696
"1820_Cell_Index141515",768
"1820_Cell_Index141592",5030
"1820_Cell_Index141652",723
"1820_Cell_Index141711",3582
"1820_Cell_Index141819",4093
"1820_Cell_Index141942",614
"1820_Cell_Index141980",858
"1820_Cell_Index142015",521
"1820_Cell_Index142189",592
"1820_Cell_Index142232",666
"1820_Cell_Index142243",699
"1820_Cell_Index142287",893
"1820_Cell_Index142356",615
"1820_Cell_Index14241",689
"1820_Cell_Index14273",772
"1820_Cell_Index142773",726
"1820_Cell_Index143261",663
"1820_Cell_Index143300",809
"1820_Cell_Index143411",594
"1820_Cell_Index143485",7331
"1820_Cell_Index143546",1468
"1820_Cell_Index143625",752
"1820_Cell_Index143674",8543
"1820_Cell_Index143716",563
"1820_Cell_Index143748",1230
"1820_Cell_Index14391",8386
"1820_Cell_Index143941",3738
"1820_Cell_Index143948",914
"1820_Cell_Index143978",652
"1820_Cell_Index144108",798
"1820_Cell_Index144179",5961
"1820_Cell_Index144270",633
"1820_Cell_Index144275",9267
"1820_Cell_Index144297",677
"1820_Cell_Index144305",904
"1820_Cell_Index144405",525
"1820_Cell_Index144436",768
"1820_Cell_Index144673",609
"1820_Cell_Index144689",850
"1820_Cell_Index144693",1559
"1820_Cell_Index144703",994
"1820_Cell_Index14476",1051
"1820_Cell_Index144830",2045
"1820_Cell_Index144929",874
"1820_Cell_Index145171",962
"1820_Cell_Index145191",854
"1820_Cell_Index145430",927
"1820_Cell_Index145523",625
"1820_Cell_Index145532",1146
"1820_Cell_Index145607",3452
"1820_Cell_Index145635",1418
"1820_Cell_Index145760",788
"1820_Cell_Index145799",1523
"1820_Cell_Index145942",992
"1820_Cell_Index146214",542
"1820_Cell_Index146273",761
"1820_Cell_Index146484",784
"1820_Cell_Index146571",606
"1820_Cell_Index146580",5118
"1820_Cell_Index146762",575
"1820_Cell_Index146771",906
"1820_Cell_Index14687",763
"1820_Cell_Index146941",739
"1820_Cell_Index147012",654
"1820_Cell_Index147014",1041
"1820_Cell_Index147037",630
"1820_Cell_Index147120",822
"1820_Cell_Index147147",1275
"1820_Cell_Index14726",805
"1820_Cell_Index14737",1196
"1820_Cell_Index147615",924
"1820_Cell_Index147718",5054
"1820_Cell_Index147773",763
"1820_Cell_Index147797",637
"1820_Cell_Index147807",1201
"1820_Cell_Index147823",850
"1820_Cell_Index147876",936
"1820_Cell_Index148008",898
"1820_Cell_Index148091",1636
"1820_Cell_Index148101",762
"1820_Cell_Index148197",670
"1820_Cell_Index148234",2632
"1820_Cell_Index148250",832
"1820_Cell_Index148424",655
"1820_Cell_Index148564",8390
"1820_Cell_Index14864",1026
"1820_Cell_Index148646",757
"1820_Cell_Index148893",922
"1820_Cell_Index148923",1283
"1820_Cell_Index148949",5977
"1820_Cell_Index149117",1259
"1820_Cell_Index149125",1214
"1820_Cell_Index149202",536
"1820_Cell_Index149409",1303
"1820_Cell_Index149435",1016
"1820_Cell_Index149516",704
"1820_Cell_Index149521",819
"1820_Cell_Index149570",842
"1820_Cell_Index149576",640
"1820_Cell_Index149608",852
"1820_Cell_Index149637",15130
"1820_Cell_Index149651",1296
"1820_Cell_Index149761",663
"1820_Cell_Index149858",1172
"1820_Cell_Index150",1013
"1820_Cell_Index150030",993
"1820_Cell_Index150084",656
"1820_Cell_Index150387",5426
"1820_Cell_Index150417",654
"1820_Cell_Index150711",7979
"1820_Cell_Index150911",908
"1820_Cell_Index150951",987
"1820_Cell_Index151098",7502
"1820_Cell_Index151216",5403
"1820_Cell_Index151221",592
"1820_Cell_Index15123",735
"1820_Cell_Index151315",1525
