"Cell_Index","UMIs_mouse"
"1820_Cell_Index149761",1994
"1820_Cell_Index149858",3226
"1820_Cell_Index150",3033
"1820_Cell_Index150030",2793
"1820_Cell_Index150084",2244
"1820_Cell_Index150343",916
"1820_Cell_Index150387",13530
"1820_Cell_Index150417",1842
"1820_Cell_Index150711",19469
"1820_Cell_Index150911",2458
"1820_Cell_Index150951",3196
"1820_Cell_Index151098",18609
"1820_Cell_Index151216",13815
"1820_Cell_Index151221",1791
"1820_Cell_Index15123",2005
"1820_Cell_Index151315",5085
"1820_Cell_Index151564",1838
"1820_Cell_Index1516",618
"1820_Cell_Index15169",3723
"1820_Cell_Index151714",1342
"1820_Cell_Index152003",1586
"1820_Cell_Index152122",12193
"1820_Cell_Index152126",2170
"1820_Cell_Index15220",1945
"1820_Cell_Index152326",14476
"1820_Cell_Index15236",698
"1820_Cell_Index15270",2812
"1820_Cell_Index152735",19715
"1820_Cell_Index152778",1740
"1820_Cell_Index152780",4705
"1820_Cell_Index152833",18733
"1820_Cell_Index152896",2070
"1820_Cell_Index152971",3209
"1820_Cell_Index153020",2950
"1820_Cell_Index153073",3130
"1820_Cell_Index153168",2800
"1820_Cell_Index153175",704
"1820_Cell_Index153220",2559
"1820_Cell_Index153261",2906
"1820_Cell_Index153269",1338
"1820_Cell_Index153345",3077
"1820_Cell_Index15345",2992
"1820_Cell_Index153621",2332
"1820_Cell_Index153679",12886
"1820_Cell_Index15368",2281
"1820_Cell_Index153690",1576
"1820_Cell_Index153865",1876
"1820_Cell_Index153929",2407
"1820_Cell_Index153938",1307
"1820_Cell_Index153976",662
"1820_Cell_Index154005",9742
"1820_Cell_Index154013",1755
"1820_Cell_Index154076",2537
"1820_Cell_Index154080",2992
"1820_Cell_Index154241",3232
"1820_Cell_Index154248",2178
"1820_Cell_Index154274",2871
"1820_Cell_Index154344",2779
"1820_Cell_Index154400",2545
"1820_Cell_Index154427",2290
"1820_Cell_Index154447",2566
"1820_Cell_Index154472",2306
"1820_Cell_Index154477",2525
"1820_Cell_Index154491",1996
"1820_Cell_Index154511",1385
"1820_Cell_Index154562",1911
"1820_Cell_Index154628",1285
"1820_Cell_Index154637",2396
"1820_Cell_Index154813",2359
"1820_Cell_Index154944",4045
"1820_Cell_Index154947",13314
"1820_Cell_Index15499",3370
"1820_Cell_Index154994",2061
"1820_Cell_Index155055",1620
"1820_Cell_Index155247",2194
"1820_Cell_Index155290",3686
"1820_Cell_Index155323",2071
"1820_Cell_Index155527",2153
"1820_Cell_Index155762",664
"1820_Cell_Index155798",23221
"1820_Cell_Index155846",3466
"1820_Cell_Index155962",3060
"1820_Cell_Index156038",2103
"1820_Cell_Index156161",2125
"1820_Cell_Index156395",2336
"1820_Cell_Index15642",1889
"1820_Cell_Index156462",711
"1820_Cell_Index156464",1831
"1820_Cell_Index156486",5001
"1820_Cell_Index156512",13660
"1820_Cell_Index15652",1534
"1820_Cell_Index15657",3372
"1820_Cell_Index156577",12341
"1820_Cell_Index156597",2400
"1820_Cell_Index156780",1891
"1820_Cell_Index156968",9283
"1820_Cell_Index156988",3421
"1820_Cell_Index157000",2805
"1820_Cell_Index157099",2046
"1820_Cell_Index157209",895
"1820_Cell_Index157320",16774
"1820_Cell_Index157328",2243
"1820_Cell_Index157451",1814
"1820_Cell_Index157479",2260
"1820_Cell_Index157543",2458
"1820_Cell_Index157608",2690
"1820_Cell_Index15769",2558
"1820_Cell_Index157768",4953
"1820_Cell_Index157866",2727
"1820_Cell_Index157921",21973
"1820_Cell_Index157965",2244
"1820_Cell_Index157966",1778
"1820_Cell_Index157986",14910
"1820_Cell_Index158119",15646
"1820_Cell_Index158268",2552
"1820_Cell_Index158279",1539
"1820_Cell_Index158351",2776
"1820_Cell_Index158375",812
"1820_Cell_Index158484",2213
"1820_Cell_Index158706",834
"1820_Cell_Index159067",2606
"1820_Cell_Index159086",3758
"1820_Cell_Index159170",2476
"1820_Cell_Index159198",1368
"1820_Cell_Index159286",2948
"1820_Cell_Index159312",2231
"1820_Cell_Index15933",2846
"1820_Cell_Index159415",1866
"1820_Cell_Index15954",11516
"1820_Cell_Index159547",2240
"1820_Cell_Index159598",1565
"1820_Cell_Index159625",19580
"1820_Cell_Index159645",1968
"1820_Cell_Index159980",1174
"1820_Cell_Index160019",2696
"1820_Cell_Index160067",1993
"1820_Cell_Index160089",1834
"1820_Cell_Index160090",2355
"1820_Cell_Index160123",3304
"1820_Cell_Index160149",936
"1820_Cell_Index160260",1949
"1820_Cell_Index160298",2982
"1820_Cell_Index160415",2247
"1820_Cell_Index160421",1686
"1820_Cell_Index160455",2731
"1820_Cell_Index16050",1619
"1820_Cell_Index160542",1915
"1820_Cell_Index160555",10485
"1820_Cell_Index160568",2149
"1820_Cell_Index160630",2644
"1820_Cell_Index160652",1930
"1820_Cell_Index160699",2680
"1820_Cell_Index160735",4358
"1820_Cell_Index160886",2265
"1820_Cell_Index160917",2831
"1820_Cell_Index16105",2934
"1820_Cell_Index161104",1640
"1820_Cell_Index161117",2666
"1820_Cell_Index161133",911
"1820_Cell_Index161169",1747
"1820_Cell_Index161247",2348
"1820_Cell_Index161266",28992
"1820_Cell_Index161312",2726
"1820_Cell_Index161350",1167
"1820_Cell_Index161473",2788
