####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-11-10 16:35:03
## Sample: 1820
## Reference: index_star_CHR.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
AC006019.2,low_depth,1,1,1.0,1,1.0,0.0
AC006020.1,low_depth,86,47,1.83,47,1.83,3.17
AC006023.1,low_depth,4,4,1.0,4,1.0,0.0
AC006023.2,pass,9,5,1.8,5,1.8,5.0
AC006026.1,pass,177,40,4.42,37,4.78,8.0
AC006026.2,low_depth,1,1,1.0,1,1.0,0.0
AC006028.1,pass,479,200,2.4,193,2.48,4.11
AC006030.1,pass,22,2,11.0,2,11.0,21.0
AC006033.1,low_depth,9,5,1.8,5,1.8,3.0
AC006033.2,low_depth,4,4,1.0,4,1.0,0.0
AC006037.2,pass,13,8,1.62,7,1.86,7.0
AC006041.1,low_depth,2,2,1.0,2,1.0,0.0
AC006042.3,pass,477,128,3.73,120,3.98,6.76
AC006042.4,low_depth,1,1,1.0,1,1.0,0.0
AC006055.1,low_depth,3,2,1.5,2,1.5,2.0
AC006058.1,low_depth,56,32,1.75,32,1.75,3.4
AC006058.2,low_depth,1,1,1.0,1,1.0,0.0
AC006058.3,low_depth,2,2,1.0,2,1.0,0.0
AC006059.1,pass,21,9,2.33,8,2.62,7.5
AC006059.2,pass,12,5,2.4,5,2.4,8.0
AC006063.1,low_depth,7,7,1.0,7,1.0,0.0
AC006063.2,low_depth,1,1,1.0,1,1.0,0.0
AC006064.1,low_depth,1,1,1.0,1,1.0,0.0
AC006064.2,pass,78,16,4.88,15,5.2,11.5
AC006064.3,low_depth,2,1,2.0,1,2.0,2.0
AC006064.4,pass,670,134,5.0,122,5.49,11.54
AC006077.1,low_depth,35,31,1.13,31,1.13,2.33
AC006077.2,pass,13,3,4.33,3,4.33,11.0
AC006111.2,low_depth,2,1,2.0,1,2.0,2.0
AC006115.1,low_depth,2,2,1.0,2,1.0,0.0
AC006116.1,pass,215,81,2.65,80,2.69,4.65
AC006116.2,pass,25,12,2.08,12,2.08,5.33
AC006116.5,low_depth,2,2,1.0,2,1.0,0.0
AC006116.7,low_depth,1,1,1.0,1,1.0,0.0
AC006116.8,low_depth,1,1,1.0,1,1.0,0.0
AC006116.9,low_depth,1,1,1.0,1,1.0,0.0
